,T1,Mean_T1,Median_T1,Max_T1,Min_T1,B0,Mean_B0,Median_B0,Max_B0,Min_B0,B1000,Mean_B1000,Median_B1000,Max_B1000,Min_B1000,B1500,Mean_B1500,Median_B1500,Max_B1500,Min_B1500,B2000,Mean_B2000,Median_B2000,Max_B2000,Min_B2000,ADC,Mean_ADC,Median_ADC,Max_ADC,Min_ADC,Position_X,Position_Y,Position_Z,class
421,805.0,690.28,668.0,964.0,513.0,13.0,34.208,38.0,65.0,2.0,18.0,19.624,18.0,27.0,12.0,16.0,14.784,15.0,22.0,6.0,15.0,12.024,13.0,21.0,3.0,151.0,626.4,646.0,1309.0,53.0,31,558,229,healthy
422,613.0,566.576,559.0,783.0,410.0,11.0,47.28,41.0,140.0,5.0,27.0,24.248,25.0,30.0,17.0,21.0,17.44,18.0,25.0,10.0,21.0,14.168,15.0,23.0,4.0,171.0,638.92,501.0,1703.0,15.0,31,566,237,healthy
423,618.0,590.48,584.0,833.0,407.0,109.0,104.88,103.0,184.0,64.0,18.0,21.528,20.0,32.0,14.0,7.0,9.776,9.0,21.0,5.0,2.0,4.256,3.0,14.0,1.0,1645.0,1537.072,1584.0,1829.0,855.0,31,566,247,healthy
424,599.0,598.016,589.0,847.0,403.0,112.0,107.6,105.0,201.0,64.0,17.0,21.536,20.0,32.0,14.0,6.0,9.712,9.0,22.0,5.0,2.0,4.2,3.0,15.0,1.0,1712.0,1557.24,1609.0,1941.0,800.0,31,567,247,healthy
425,811.0,777.424,809.0,1086.0,467.0,43.0,159.488,50.0,1514.0,6.0,29.0,26.984,26.0,41.0,21.0,23.0,17.472,19.0,27.0,2.0,19.0,13.368,15.0,26.0,0.0,556.0,1041.632,595.0,3744.0,199.0,31,595,208,healthy
426,967.0,740.136,709.0,1025.0,488.0,38.0,83.592,97.0,167.0,18.0,23.0,29.584,29.0,46.0,21.0,19.0,18.184,18.0,25.0,12.0,16.0,12.192,12.0,19.0,5.0,525.0,899.224,1098.0,1609.0,230.0,31,723,326,healthy
427,1036.0,895.736,964.0,1436.0,406.0,58.0,92.672,68.0,199.0,23.0,22.0,31.896,33.0,41.0,18.0,13.0,20.96,18.0,35.0,11.0,8.0,14.712,11.0,34.0,5.0,817.0,853.896,836.0,1672.0,112.0,31,737,166,healthy
428,509.0,790.968,786.0,1020.0,499.0,126.0,171.448,179.0,297.0,52.0,33.0,34.608,34.0,46.0,29.0,17.0,17.136,17.0,27.0,9.0,9.0,8.952,8.0,21.0,3.0,1073.0,1412.608,1374.0,2264.0,634.0,31,744,339,healthy
429,891.0,630.512,618.0,987.0,288.0,107.0,110.752,107.0,367.0,0.0,41.0,32.256,30.0,68.0,14.0,26.0,18.32,18.0,42.0,9.0,16.0,10.728,9.0,35.0,1.0,963.0,1136.144,1163.0,1724.0,363.0,31,751,214,healthy
430,882.0,861.392,847.0,1295.0,621.0,40.0,80.904,85.0,220.0,22.0,33.0,37.872,37.0,54.0,29.0,31.0,26.032,26.0,38.0,18.0,29.0,19.544,16.0,34.0,10.0,198.0,679.656,798.0,1392.0,44.0,31,755,289,healthy
